review_idx,aspect_term,aspect_category,opinion_words,polarity,negated,method
0,performance,performance,,0.6,False,keyword
0,anc,sound,,1.0,False,keyword
0,cooling,cooling,,1.0,False,keyword
1,ui,software,,0.0,False,keyword
2,quality,build_quality,,-0.15,False,keyword
2,packaging,delivery,,0.7,False,keyword
3,general,general,,-0.5,False,fallback
4,service,service,,0.6000000000000001,False,keyword
5,display,display,,0.5,False,keyword
5,speaker,sound,,-1.0,False,keyword
5,quality,build_quality,,-1.0,False,keyword
5,overheat,cooling,,-1.0,False,keyword
5,design,design,,0.5,False,keyword
6,service,service,,0.0,False,keyword
7,power,battery,,0.20833333333333334,False,keyword
8,charging,battery,,-0.30000000000000004,False,keyword
8,speed,performance,,-0.30000000000000004,False,keyword
8,build,build_quality,,0.0,False,keyword
8,app,software,,-0.30000000000000004,False,keyword
8,lightweight,design,,0.0,False,keyword
9,value,price_value,,0.9,False,keyword
10,service,service,,0.0,False,keyword
11,lens,camera,,0.0,False,keyword
12,service,service,,0.6000000000000001,False,keyword
13,service,service,,0.6000000000000001,False,keyword
14,lag,performance,,0.0,False,keyword
15,ui,software,,0.35714285714285715,False,keyword
16,sound,sound,,0.3833333333333333,False,keyword
16,quality,build_quality,,0.3833333333333333,False,keyword
16,worth,price_value,,0.09999999999999999,False,keyword
17,service,service,,0.6000000000000001,False,keyword
18,camera,camera,,0.0,False,keyword
18,value,price_value,,0.0,False,keyword
19,lag,performance,,0.0,False,keyword
20,durability,build_quality,,1.0,False,keyword
21,expensive,price_value,,-0.04999999999999999,False,keyword
22,quality,build_quality,,-0.15,False,keyword
22,packaging,delivery,,0.7,False,keyword
23,screen,display,,0.09999999999999999,False,keyword
24,camera,camera,,1.0,False,keyword
24,quality,build_quality,,0.0,False,keyword
24,price,price_value,,1.0,False,keyword
24,app,software,,1.0,False,keyword
24,hot,cooling,,0.0,False,keyword
25,warranty,service,,0.3571428571428571,False,keyword
26,software,software,,0.1,False,keyword
27,price,price_value,,0.25,False,keyword
28,software,software,,0.7,False,keyword
